spot,slug,date,wave_height_m,wave_direction_deg,wave_period_s,swell_height_m,swell_direction_deg,swell_period_s,wind_speed_kmh,wind_direction_deg,wind_gusts_kmh,observation_label,notes
Martinique Beach,martinique-beach,2020-11-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2020-11-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2020-11-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2020-12-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-01-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-01-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-02-09,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-02-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-03-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-03-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-04-08,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-04-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-04-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-04-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-04-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-05-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-05-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-05-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-05-25,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-06-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-06-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-06-17,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-06-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-08-01,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-08-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-08-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-08-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-08-26,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-08-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-09-07,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-09-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-09-22,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-09-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-10-05,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-10-07,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-10-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-11-01,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-11-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-11-06,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-11-09,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-11-11,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-11-16,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-12-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-12-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2021-12-26,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-02-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-02-19,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-02-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-03-11,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-04-05,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-04-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-04-18,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-04-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-05-03,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-05-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-05-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-05-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-05-25,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-06-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-06-07,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-06-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-06-19,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-06-29,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-07-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-07-07,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-07-09,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-07-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-07-24,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-07-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-08-13,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-08-21,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-08-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-09-02,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-09-07,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-09-10,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-09-15,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-09-17,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-09-25,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-09-30,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-10-12,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-10-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2022-10-22,,,,,,,,,,,
